filename,n_perm,null_min,null_max,null_mean,test_stat,p_value
rootedtree_256.txt,50,0.06603574754,0.101061868,0.07986412618,0.09090755869,0.12
rootedtree_257.txt,50,0.0733677988,0.108198883,0.08766834899,0.1153381537,0
rootedtree_258.txt,50,0.00956942393,0.02215332419,0.01282185536,0.01086901256,0.86
rootedtree_259.txt,50,0.05952026747,0.1237308472,0.08037653529,0.1071888352,0.06
rootedtree_260.txt,50,0.01059747283,0.01829328594,0.01342646855,0.01151988025,0.92
rootedtree_261.txt,50,0.06896753256,0.1072731526,0.08483852523,0.401790327,0
rootedtree_262.txt,50,0.06315237446,0.1037804693,0.0774140651,0.08684639105,0.14
rootedtree_263.txt,50,0.07586862561,0.1043856967,0.0901721731,0.1100471011,0
rootedtree_264.txt,50,0.009170008292,0.01719436862,0.01208268173,0.01790042121,0
rootedtree_265.txt,50,0.008922725741,0.01510149535,0.01106119785,0.01160451093,0.26
rootedtree_266.txt,50,0.06824581829,0.1271960623,0.08709853657,0.5356692418,0
rootedtree_267.txt,50,0.04275053798,1.20141024,0.2155141416,2.200000039,0
rootedtree_268.txt,50,0.06892288954,0.1127832223,0.08529259994,0.1278071874,0
rootedtree_269.txt,50,0.009293868741,0.01476996501,0.01137047418,0.009901784454,0.88
rootedtree_270.txt,50,0.07222529156,0.105937706,0.08776334952,0.1652401799,0
rootedtree_271.txt,50,0.008769475817,0.01752238709,0.01121465673,0.01134389977,0.36
rootedtree_272.txt,50,0.009588574156,0.01712526518,0.01296418476,0.01383065971,0.24
rootedtree_273.txt,50,0.06992468498,0.1523884142,0.08679108004,0.1782079672,0
rootedtree_274.txt,50,0.07659269496,0.1147185691,0.09035700619,0.1251430098,0
rootedtree_275.txt,50,0.05208675799,0.1034409367,0.07299086037,0.08233801752,0.2
rootedtree_276.txt,50,0.0118206738,0.03590621898,0.01750497704,0.01362347508,0.8
rootedtree_277.txt,50,0.07085007361,0.1118393543,0.09135048546,0.14817665,0
rootedtree_278.txt,50,0.06877582299,0.1168882473,0.08730758186,0.1899851625,0
rootedtree_279.txt,50,0.07395297349,0.1111036152,0.08699572848,0.3457896479,0
rootedtree_280.txt,50,0.07000327451,0.1115227163,0.08569764665,0.1428507385,0
rootedtree_281.txt,50,0.04651491159,0.0815678024,0.05809533747,0.06195163091,0.28
rootedtree_282.txt,50,0.04476126727,0.07227874517,0.05518735341,0.05738076712,0.32
rootedtree_283.txt,50,0.06434814959,0.1247859444,0.08629083386,0.2921365678,0
rootedtree_284.txt,50,0.04268729355,0.07041215759,0.05521463573,0.07059226371,0
rootedtree_285.txt,50,0.05967106893,0.09693854641,0.07458146104,0.101656616,0
rootedtree_286.txt,50,0.06891067077,0.1011266439,0.085728399,0.1019613579,0
rootedtree_287.txt,50,0.01044376123,0.01638444087,0.01300782527,0.01204770715,0.74
rootedtree_288.txt,50,0.0692736483,0.1117014905,0.08748207177,0.09728992104,0.18
rootedtree_289.txt,50,0.04241416981,0.08332477502,0.05919094205,0.06209438167,0.28
rootedtree_290.txt,50,0.07518410801,0.1145263324,0.0892503573,0.1643315566,0
rootedtree_291.txt,50,0.06680396954,0.1015542603,0.08337261729,0.1309098612,0
rootedtree_292.txt,50,0.07763997442,0.1161470602,0.08928964964,0.1168644047,0
rootedtree_293.txt,50,0.07348918289,0.1182180973,0.09001951425,0.1107988364,0.06
rootedtree_294.txt,50,0.07482294795,0.1135188015,0.09117667833,0.1772732334,0
rootedtree_295.txt,50,0.06733835326,0.1100474444,0.08698016228,0.1702118287,0
rootedtree_296.txt,50,0.07237409694,0.1065532496,0.08673612034,0.08787365698,0.42
rootedtree_297.txt,50,0.07195117821,0.09938149962,0.08396067493,0.1009027496,0
rootedtree_298.txt,50,0.06116896337,0.1211844453,0.08373408928,0.6892776335,0
rootedtree_299.txt,50,0.06855424552,0.1049376365,0.08756749028,0.1656971897,0
rootedtree_300.txt,50,0.04586302872,0.1138757453,0.06451205294,0.08481118195,0.1
rootedtree_301.txt,50,0.06505826851,0.1363395583,0.08317519691,0.4877218414,0
rootedtree_302.txt,50,0.05935380919,0.09321304986,0.07603948628,0.200282365,0
rootedtree_303.txt,50,0.008701290854,0.01209094822,0.01046559963,0.01078414076,0.32
rootedtree_304.txt,50,0.01378460378,0.02416211372,0.01704606205,0.01587633352,0.66
